id,text,detail,zone,building_type,category,regulation_ref,severity_default
CHK-001,All floor openings are covered or guarded,"Check that any holes, gaps or openings in floors are covered with fixed boards or protected by barriers. Uncovered openings are a critical fall risk.",General,All,Access & Exits,RD 1627/1997 Annex IV Part C §3,Critical
CHK-002,Emergency exits are clearly marked and unobstructed,"Verify all emergency exit signs are lit or clearly visible, doors open outwards freely and no materials are blocking the path.",General,All,Access & Exits,RD 1627/1997 Annex IV Part A §4,Critical
CHK-003,Workers are wearing hard hats in active construction zones,"Check all workers in areas with overhead work or falling object risk are wearing EN-397 certified hard hats. Remind site manager if non-compliant.",General,All,PPE,RD 1627/1997 Art.11 + RD 773/1997,Critical
CHK-004,High-visibility vests worn by all workers on site,"All workers must wear EN ISO 20471 Class 2 or higher hi-vis vests. Particularly important near vehicle movement areas.",General,All,PPE,RD 773/1997 Art.3,Minor
CHK-005,Safety footwear worn by all workers,"Workers must wear EN ISO 20345 certified safety boots (steel toe cap minimum). Check especially in areas with heavy materials.",General,All,PPE,RD 773/1997 Art.3,Minor
CHK-006,Fire extinguishers present and within inspection date,"Verify at least one extinguisher per 200m2 or per floor. Check the inspection tag - must be within the last 12 months. Correct type for site (ABC powder recommended).",General,All,Fire Safety,RD 1627/1997 Annex IV Part A §5 + CTE DB-SI,Minor
CHK-007,Safety signage visible at all entry points,"Check that hazard warning signs, PPE requirement signs and site rules are posted at all entrances. Signs must comply with RD 485/1997 pictogram standards.",Exterior,All,Signage,RD 485/1997 + RD 1627/1997 Annex IV Part A §4,Recommendation
CHK-008,Site perimeter is secured and clearly marked,"Fencing or barriers must enclose the full site perimeter. Gaps or unsecured sections allow unauthorised access.",Exterior,All,Access & Exits,RD 1627/1997 Annex IV Part A §19,Minor
CHK-009,First aid kit is stocked and accessible,"Check kit is mounted visibly within expiry dates and contains: bandages antiseptic gloves eye wash emergency contact list. Note location on report.",General,All,First Aid,RD 1627/1997 Annex IV Part A §14,Critical
CHK-010,Emergency contact numbers posted on site,"A visible sign near site entrance must show: emergency services (112) site manager mobile nearest hospital address and local Labour Inspectorate number.",General,All,First Aid,RD 1627/1997 Annex IV Part A §14,Recommendation
CHK-011,Scaffolding has guardrails on all open sides above 2m,"All scaffold platforms above 2 metres must have: main rail at min. 90cm intermediate rail and toe board at least 15cm high. Inspect fixing points for stability.",Exterior,Commercial,Scaffolding,RD 1627/1997 Annex IV Part C §3a,Critical
CHK-012,Scaffolding anchor points are secure and undamaged,"Check wall ties and anchor bolts are not corroded bent or missing. Each anchor must be load-rated for the scaffold weight. Document any defects found.",Exterior,Commercial,Scaffolding,RD 1627/1997 Annex IV Part C §1,Critical
CHK-013,Scaffolding boards are fully planked with no gaps,"No gaps larger than 25mm between boards. Boards must overhang supports by 150-300mm. Check for warped cracked or slippery boards.",Exterior,Commercial,Scaffolding,RD 1627/1997 Annex IV Part C §3,Minor
CHK-014,Electrical panels are locked and clearly labelled,"All distribution boards must be locked when unattended. Labels must show voltage circuit IDs and isolation procedure. Check for exposed wiring at entries.",Floor 1,Commercial,Electrical,RD 1627/1997 Annex IV Part A §3 + ITC-BT-17,Minor
CHK-015,Temporary electrical cables are routed safely overhead or in conduit,"No cables trailing across walkways or vehicle routes. Overhead cables must be at min. 2.5m height. All joints must be in IP44 rated enclosures.",General,Commercial,Electrical,RD 1627/1997 Annex IV Part A §3,Minor
CHK-016,Exposed wiring or open junction boxes are made safe,"Any unfinished electrical work must be isolated at the distribution board and taped with hazard tape. Log location and alert site electrician.",General,Commercial,Electrical,RD 1627/1997 Annex IV Part A §3,Critical
CHK-017,Chemical storage area is ventilated and labelled with hazard symbols,"Solvents adhesives and other chemicals must be stored in a dedicated ventilated area with GHS hazard labels. Check MSDS sheets are accessible on site.",Basement,Commercial,Hazardous Materials,RD 374/2001 + RD 1627/1997 Annex IV Part A §7,Critical
CHK-018,Hazardous waste is segregated and in sealed containers,"Chemical waste asbestos fragments and contaminated materials must be in clearly labelled sealed containers. Check waste manifest is present for removal.",General,Commercial,Hazardous Materials,RD 374/2001,Minor
CHK-019,Machinery guards are in place on all powered tools,"Angle grinders circular saws and similar tools must have blade/disc guards fitted. Check emergency stop buttons are accessible and functional.",General,Commercial,Machinery,RD 1627/1997 Annex IV Part C §8,Critical
CHK-020,Crane and hoist load limits are posted and observed,"Check load rating plate is visible on crane and hoist. No improvised lifting. Slings and shackles must be colour-coded for current inspection period.",General,Commercial,Machinery,RD 1627/1997 Annex IV Part C §6,Critical
CHK-021,Vehicle and pedestrian routes are separated on site,"Temporary road markings or barriers must separate forklift/vehicle routes from foot traffic. Crossing points must have stop signs or a banksman.",Exterior,Commercial,Circulation,RD 1627/1997 Annex IV Part A §11,Minor
CHK-022,Excavations are shored fenced and signed,"Any excavation deeper than 1.2m must have shoring or battered sides. Edge barriers must be at least 1m from the excavation edge. Warning signs present.",Exterior,Commercial,Excavation,RD 1627/1997 Annex IV Part C §9,Critical
CHK-023,Construction zone is fully fenced and separated from occupied areas,"Hoardings must be minimum 2m high and continuous. No gaps adjacent to occupied offices or retail. Dust suppression measures in place if applicable.",Exterior,Commercial,Access & Exits,RD 1627/1997 Annex IV Part A §19,Critical
CHK-024,Noise levels monitored if work is near occupied offices,"If construction noise is audible in occupied spaces check decibel readings are within permitted hours (Mon-Fri 8:00-21:00 per local ordinance). Log readings.",General,Commercial,Environment,RD 286/2006,Recommendation
CHK-025,Handrails on all permanent and temporary staircases,"All stairs with more than 3 steps must have at least one handrail. Temporary staircases must have rails on both sides if width exceeds 1.2m.",General,Commercial,Access & Exits,RD 1627/1997 Annex IV Part A §11,Minor
CHK-026,Children's play areas adjacent to site are fully fenced,"Any school play area sports court or outdoor space adjacent to the construction zone must be enclosed by minimum 2m solid hoarding. No gaps.",Exterior,Educational,Access & Exits,RD 1627/1997 Annex IV Part A §11 + Art.4,Critical
CHK-027,Construction vehicles have no access to areas used by students,"Vehicle delivery routes must not cross any area accessible to students during school hours. A separate locked gate for deliveries is required.",Exterior,Educational,Circulation,RD 1627/1997 Annex IV Part A §11,Critical
CHK-028,Dust and debris suppression active near occupied classrooms,"Water spraying or dust screens must be used during any cutting or drilling within 20m of occupied classrooms. Check filters on ventilation intakes.",General,Educational,Environment,RD 286/2006 + RD 1627/1997 Art.10,Critical
CHK-029,No percussive work during school hours without written agreement,"No breaking pile driving or jackhammering during school exam periods or core teaching hours unless agreed with school management in writing.",General,Educational,Environment,RD 286/2006,Critical
CHK-030,Hazardous materials stored away from any student-accessible area,"Chemical stores fuel tanks and waste skips must be located at least 10m from any boundary students could access. Locks must be present at all times.",General,Educational,Hazardous Materials,RD 374/2001,Critical
CHK-031,Emergency plan accounts for school occupants,"Site emergency plan must include evacuation coordination with school. Verify site manager has school emergency contact and evacuation routes avoid school exits.",General,Educational,First Aid,RD 1627/1997 Art.9 + Annex IV Part A §4,Minor
CHK-032,Construction warning signs posted at school entrances,"Clear warning signs must be at all school entrance points visible to parents students and staff.",Exterior,Educational,Signage,RD 485/1997,Recommendation
CHK-033,Safety induction records available for all workers,"Site manager must hold a register showing each worker received a safety induction. Check date name and signature. Must be within last 12 months.",General,Educational,Documentation,RD 1627/1997 Art.15,Minor
CHK-034,Welfare facilities (toilets and rest area) are available for workers,"Minimum: 1 toilet per 15 workers 1 washbasin per 10 workers lockable area for personal items covered rest space with seating.",General,All,Welfare,RD 1627/1997 Annex IV Part A §15,Minor
CHK-035,Drinking water is available on site,"Potable water must be accessible within 50m of any active work area. Bottled water acceptable. Label tap water clearly if non-potable.",General,All,Welfare,RD 1627/1997 Annex IV Part A §19,Recommendation
CHK-036,Safety and health plan is on site and up to date,"The approved Plan de Seguridad y Salud must be physically present on site. Check it reflects current phase of work and has coordinator signature.",General,All,Documentation,RD 1627/1997 Art.7,Critical
CHK-037,Incident logbook (Libro de Incidencias) is present and accessible,"The official logbook must be on site held by the safety coordinator or site manager. Must be accessible to all entitled parties.",General,All,Documentation,RD 1627/1997 Art.13,Minor
CHK-038,Overhead protection on pedestrian routes below working areas,"Covered walkways or solid overhead protection must be in place on any footpath directly below any work at height activity.",Exterior,All,Access & Exits,RD 1627/1997 Annex IV Part C §2,Minor
CHK-039,Work at height uses correct fall protection,"Workers above 2m must use: platform with guardrails or harness with anchor point. Check harness condition - no fraying clips lock correctly. No improvised platforms.",General,All,Scaffolding,RD 1627/1997 Annex IV Part C §3b,Critical
CHK-040,Adjacent residential units protected from dust and debris,"Temporary screens or sheeting must be erected on facades adjacent to occupied residential units. Notify residents in advance of noisy or dusty phases.",Exterior,Residential,Environment,RD 1627/1997 Art.10,Minor
CHK-041,Structural modifications to occupied residential building are supervised,"Any work affecting load-bearing walls floors or structural frame must be carried out under direct supervision of a competent structural engineer.",General,Residential,Structural,RD 1627/1997 Annex IV Part C §11,Critical
CHK-042,Construction zone is separated from occupied residential areas at all times,"A clear boundary must exist between construction zone and occupied areas at all times. Connecting doors must be locked on the construction side.",General,Residential,Access & Exits,RD 1627/1997 Annex IV Part A §11,Critical
CHK-043,Utility isolations (gas water electric) are documented before structural work,"Written confirmation of isolation from the relevant utility provider must be on site. Check date of isolation matches current work phase.",General,Residential,Electrical,RD 1627/1997 Annex IV Part C §10,Critical
CHK-044,Waste materials removed from residential areas daily,"Rubble packaging and waste must not accumulate in corridors stairwells or any shared residential space. Removal at minimum daily.",General,Residential,Housekeeping,RD 1627/1997 Annex IV Part A §10 + Art.10,Minor
CHK-045,Adequate lighting in all active work areas and circulation routes,"Minimum 50 lux for general circulation 200 lux for active work areas. Check all temporary lighting is mounted securely and working.",General,All,Lighting,RD 1627/1997 Annex IV Part A §9,Minor
